구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2023년09월05일,1985.22,1749.90,1640.25,1365.93
2023년09월06일,1986.25,1750.77,1642.31,1367.50
2023년09월07일,1987.17,1752.15,1644.66,1369.10
2023년09월08일,1988.03,1753.64,1646.94,1370.63
2023년09월09일,1987.87,1755.10,1648.81,1372.52
2023년09월10일,1988.33,1756.02,1649.90,1374.06
2023년09월11일,1989.93,1757.58,1652.38,1375.82
2023년09월12일,1992.69,1759.40,1655.12,1377.98
2023년09월13일,1994.20,1761.41,1658.12,1379.98
2023년09월14일,1995.85,1763.46,1660.96,1382.34
2023년09월15일,1997.74,1766.40,1664.78,1385.96
2023년09월16일,1999.12,1769.09,1668.01,1389.14
2023년09월17일,1998.95,1770.28,1669.35,1390.43
2023년09월18일,2001.77,1772.99,1672.87,1393.11
2023년09월19일,2006.11,1776.84,1677.59,1396.47
2023년09월20일,2008.05,1779.75,1680.89,1398.74
2023년09월21일,2009.56,1781.68,1683.28,1401.47
2023년09월22일,2012.13,1783.61,1685.66,1404.70
2023년09월23일,2012.62,1785.21,1687.48,1407.48
2023년09월24일,2013.32,1786.26,1688.56,1408.96
2023년09월25일,2015.21,1788.05,1690.88,1410.62
2023년09월26일,2016.40,1789.63,1692.69,1412.73
2023년09월27일,2018.36,1791.29,1694.80,1414.70
2023년09월28일,2018.89,1793.26,1696.81,1417.26
2023년09월29일,2019.34,1794.41,1697.71,1418.02
2023년09월30일,2018.69,1794.66,1698.02,1418.86
2023년10월01일,2019.24,1795.22,1698.67,1419.79
2023년10월02일,2019.97,1796.17,1699.64,1421.30
2023년10월03일,2019.17,1796.25,1699.92,1422.46
2023년10월04일,2020.34,1796.38,1701.16,1423.95
2023년10월05일,2019.95,1795.91,1701.32,1424.87
2023년10월06일,2018.64,1793.82,1700.21,1426.49
2023년10월07일,2017.15,1791.71,1698.57,1428.99
2023년10월08일,2017.10,1790.73,1697.65,1429.56
2023년10월09일,2017.36,1790.08,1697.40,1429.61
2023년10월10일,2017.34,1789.18,1696.84,1430.20
2023년10월11일,2015.47,1786.89,1695.51,1431.24
2023년10월12일,2014.28,1784.72,1694.19,1431.71
2023년10월13일,2012.81,1781.79,1692.61,1432.85
2023년10월14일,2010.72,1779.47,1691.18,1433.92
2023년10월15일,2010.41,1778.68,1690.63,1434.15
2023년10월16일,2010.83,1777.56,1690.58,1434.53
2023년10월17일,2008.78,1775.06,1689.39,1434.71
2023년10월18일,2008.04,1772.84,1688.47,1435.19
2023년10월19일,2007.13,1771.04,1687.55,1435.77
2023년10월20일,2006.07,1769.39,1686.94,1436.31
2023년10월21일,2004.41,1767.74,1686.19,1437.31
2023년10월22일,2004.29,1767.17,1685.83,1437.54
2023년10월23일,2004.51,1766.30,1685.87,1437.68
2023년10월24일,2003.42,1764.26,1684.84,1437.85
2023년10월25일,2001.93,1761.55,1683.72,1437.98
2023년10월26일,1999.93,1758.33,1682.13,1438.32
2023년10월27일,1997.03,1754.98,1680.56,1438.38
